№,Страна,Регион,Город,Трасса,Месторасположение,Бренд,Бензин,ДТ,ГАЗ,Мойка,Доп. услуги,Категория
183,РОССИЯ,Архангельская область,Новодвинск,,"Архангельская обл., г. Новодвинск, ш. Архангельское, 11, серо-желтая",Avalon,+,+,,,,A
184,РОССИЯ,Архангельская область,Новодвинск,,"Архангельская область, г. Новодвинск, ул. Декабристов 39",Vianor,,,,,,A
185,РОССИЯ,Архангельская область,Новодвинск,11К-721,"Архангельская обл., г. Новодвинск, ш. Ширшинское, 2",Лукойл,+,+,,,"AdBlue, Доп. товары",
186,РОССИЯ,Архангельская область,Няндома,,"Архангельская обл., г. Няндома, ул. Песочная, 9",АГЗС,,,+,+,,A
187,РОССИЯ,Архангельская область,онега,,"Архангельская обл., Онежский район, г. Онега, ул. Объездная дорога, 2",АЗС,+,+,,,,
188,РОССИЯ,Архангельская область,Северодвинск,,"ул. Первомайская, 2, Северодвинск, Архангельская обл., Россия, 164520",Татнефть,+,+,,,,R
189,РОССИЯ,Архангельская область,Северодвинск,,"ш. Архангельское, 116",Татнефть,+,+,,,,R
190,РОССИЯ,Архангельская область,Северодвинск,,"пр-д Машиностроителей, 26",Татнефть,+,+,,,,R
191,РОССИЯ,Архангельская область,Северодвинск,,"Окружная ул., 27а, Северодвинск, Архангельская обл., Россия, 164521",ОПТИ,+,+,,,,T
192,РОССИЯ,Архангельская область,Северодвинск,,"ул. Железнодорожная, 31",Татнефть,+,+,,,,R
193,РОССИЯ,Архангельская область,Северодвинск,,"Архангельская обл., г. Северодвинск, пр-т Морской, 48 В",Лукойл,+,+,+,,"AdBlue, Доп. товары",
194,РОССИЯ,Архангельская область,Северодвинск,,"Архангельская обл., г. Северодвинск, ш. Архангельское, 76",Лукойл,+,+,+,,"AdBlue, Доп. товары",
195,РОССИЯ,Архангельская область,фроловская,,"Архангельская обл., Красноборский район, д. Фроловская, ул. Придорожная, 3",АЗС,+,+,,,,
196,РОССИЯ,Архангельская область,Чаплинская,,"Архангельская обл., Шенкурский р-н, МО ""Шеговарское"", 881-882км а/д Москва Архангельск, вблизи д. Чаплинская, территория автозаправочной станции, стр. 1",АЗС,+,+,,,,
197,РОССИЯ,Архангельская область,Яренск,11Р-006,"Архангельская обл., Ленский р-н, с. Яренск, ул. Восточная, 11 б",Лукойл,+,+,,,"AdBlue, Доп. товары",
198,РОССИЯ,Астраханская область,Аксарайский,,"Астраханская обл., Красноярский р-н, п. Аксарайский, 180 метров на северо-запад от стационарного поста ГИБДД «Тайга-1» # АЗС №439",Газпром,+,+,,,,G
199,РОССИЯ,Астраханская область,Астрахань,,"г. Астрахань, ул. Автозаправочная, 8 # АЗС №37",Газпром,+,+,,,,G
200,РОССИЯ,Астраханская область,Астрахань,М6,"Астраханская область, г.Астрахань, Фунтовское шоссе, д.5, после Кубанского моста (НАД  Ж/Д ), АЗС ""АСТ-Петрол"", зеленая",АСТ-Петрол,+,+,,,,A
201,РОССИЯ,Астраханская область,Астрахань,,"Астраханская обл., г. Астрахань, Советский р-н, ул. Рождественского, 2а, АГЗС №1  # АЗС №438",Газпром,+,+,+,,,G
202,РОССИЯ,Астраханская область,Астрахань,,"Астраханская обл., г.Астрахань, ул.Началовская, 2А (автоматическая АЗС) # АЗС №3001",Газпром,+,+,,,,G
203,РОССИЯ,Астраханская область,Астрахань,1Р 216,"Астрахань, Ленинский район,ул.Рыбинская,д.16А",АТК,+,+,,,,A
204,РОССИЯ,Астраханская область,Астрахань,,"г. Астрахань, ул. Славянская, 1 Д # АЗС №32",Газпром,+,+,,+,,G
205,РОССИЯ,Астраханская область,Астрахань,,"г.Астрахань, ул. Магистральная 24а",РН-АстраханьНефтепродукт,+,+,,,,A
206,РОССИЯ,Астраханская область,Астрахань,,"ул. 2-я Дербентская, 28",ЭКТООЙЛ,+,+,+,,,B
207,РОССИЯ,Астраханская область,Астрахань,,"Астраханская обл., г. Астрахань, Кировский р-н, ул. Минусинская, 1 # АЗС №34",Газпром,+,+,+,,,G
208,РОССИЯ,Астраханская область,Астрахань,Е40,"Астраханская обл., г. Астрахань, Трусовский р-н, ул. Автострадная, 10 # АЗС №42",Газпром,+,+,,,,G
209,РОССИЯ,Астраханская область,Астрахань,,"г. Астрахань, ул. Новороссийская, 4 # АЗС №41",Газпром,+,+,,,,G
210,РОССИЯ,Астраханская область,Астрахань,,"г. Астрахань, ул. Боевая, 21 # АЗС №39",Газпром,+,+,+,,Шиномонтаж,G
211,РОССИЯ,Астраханская область,Астрахань,,"г. Астрахань, ул. Ахшарумова, 90 А # АЗС №38",Газпром,+,+,+,,,G
212,РОССИЯ,Астраханская область,Астрахань,,"Астраханская обл., г. Астрахань, Заводская площадь, 94б # АЗС №35",Газпром,+,+,,,,G
213,РОССИЯ,Астраханская область,Астрахань,,"г. Астрахань, Кировский р-н, ул. Б. Алексеева, 49Б # АЗС №30",Газпром,+,+,,,,G
214,РОССИЯ,Астраханская область,Астрахань,,"г. Астрахань, ул. Автозаправочная, 5 # АЗС №29",Газпром,+,+,,,,G
215,РОССИЯ,Астраханская область,Астрахань,,"Астраханская обл., г. Астрахань, Трусовский р-н, пер. Ульяновский, 27 # АЗС №28",Газпром,+,+,,,,G
216,РОССИЯ,Астраханская область,Астрахань,,"г. Астрахань, ул. Краматорская, 147 # АЗС №27",Газпром,+,+,,,,G
217,РОССИЯ,Астраханская область,Астрахань,,"г. Астрахань, ул. Софьи Перовской, 104",ЭКТООЙЛ,+,+,+,,,B
218,РОССИЯ,Астраханская область,Астрахань,,"Астраханская обл., г.Астрахань, Аэропортовское шоссе, 44, МАЗС №1",ЭКТООЙЛ,+,+,+,,Метан,B
219,РОССИЯ,Астраханская область,Астрахань,,"АГЗС №3008, г. Астрахань, Советский р-н, ул. Аэропортовское шоссе, 15б",Газпром сеть АГЗС,+,,+,,,C
220,РОССИЯ,Астраханская область,Астрахань,,"АГНКС №3001, г. Астрахань ул. Нововолжска1",Газпром сеть АГЗС,,,+,,Метан,C
221,РОССИЯ,Астраханская область,Астрахань,,"АГЗС №3012,  Астрахань, Трусовский р-н, г. ул. Пирогова, 179",Газпром сеть АГЗС,,,+,,,C
222,РОССИЯ,Астраханская область,Астрахань,,"АГЗС №3010,  г. Астрахань, Советский р-н, ул. Ад. Нахимова, 80б",Газпром сеть АГЗС,,,+,,,C
223,РОССИЯ,Астраханская область,Астрахань,,"АГЗС №3009,  г. Астрахань, Кировский р-н, ул. Началовское шоссе, 11в",Газпром сеть АГЗС,,,+,,,C
224,РОССИЯ,Астраханская область,Астрахань,,"АГЗС №3007,  г. Астрахань, Ленинский р-н, ул. 4 Черниговская",Газпром сеть АГЗС,,,+,,,C
225,РОССИЯ,Астраханская область,Астрахань,,"АГЗС №3004,  г. Астрахань, Советский р-н, ул. Ад. Нахимова, 271а",Газпром сеть АГЗС,,,+,,,C
